<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.05.15	1.14094	1.14661	1.13233	1.14466	77665	0	1
2015.05.18	1.14485	1.14485	1.12979	1.13140	51726	0	6
2015.05.19	1.13146	1.13256	1.11184	1.11490	112121	0	7
2015.05.20	1.11506	1.11514	1.10616	1.10932	122301	0	7
2015.05.21	1.10917	1.11807	1.10790	1.11113	109322	0	4
2015.05.22	1.11113	1.12069	1.10016	1.10141	105137	0	7
2015.05.25	1.10052	1.10089	1.09584	1.09769	60698	0	7
2015.05.26	1.09764	1.09806	1.08626	1.08723	113774	0	5
2015.05.27	1.08718	1.09284	1.08185	1.09034	107899	0	7
2015.05.28	1.09035	1.09579	1.08681	1.09473	117478	0	7
2015.05.29	1.09471	1.10053	1.09251	1.09895	104414	0	7
2015.06.01	1.09835	1.09876	1.08865	1.09258	118185	0	5
2015.06.02	1.09257	1.11927	1.09152	1.11501	189524	0	5
2015.06.03	1.11499	1.12843	1.10811	1.12737	102112	0	2
2015.06.04	1.12736	1.13793	1.12219	1.12372	67030	0	1
2015.06.05	1.12370	1.12793	1.10489	1.11163	185260	0	5
2015.06.08	1.11018	1.13063	1.10837	1.12908	151939	0	5
2015.06.09	1.12902	1.13446	1.12136	1.12817	171017	0	5
2015.06.10	1.12796	1.13855	1.12599	1.13230	187092	0	5
2015.06.11	1.13232	1.13306	1.11816	1.12566	150647	0	5
2015.06.12	1.12567	1.12961	1.11509	1.12621	148197	0	5
2015.06.15	1.12133	1.12938	1.11893	1.12820	112556	0	6
2015.06.16	1.12830	1.13292	1.12044	1.12467	128956	0	4
2015.06.17	1.12467	1.13574	1.12057	1.13365	150512	0	5
2015.06.18	1.13365	1.14360	1.13297	1.13595	164081	0	5
2015.06.19	1.13575	1.13962	1.12915	1.13483	127247	0	5
2015.06.22	1.13740	1.14097	1.13115	1.13396	132015	0	5
2015.06.23	1.13398	1.13469	1.11347	1.11674	155646	0	5
2015.06.24	1.11663	1.12344	1.11539	1.12033	143646	0	5
2015.06.25	1.12056	1.12273	1.11534	1.12035	122528	0	5
2015.06.26	1.12023	1.12194	1.11297	1.11713	118028	0	5
2015.06.29	1.10047	1.12776	1.09538	1.12350	193963	0	5
2015.06.30	1.12346	1.12437	1.11123	1.11453	156812	0	5
2015.07.01	1.11380	1.11708	1.10425	1.10518	135383	0	5
2015.07.02	1.10525	1.11209	1.10319	1.10826	127664	0	4
2015.07.03	1.10835	1.11175	1.10643	1.11038	100405	0	4
2015.07.06	1.09794	1.10950	1.09688	1.10551	153241	0	7
2015.07.07	1.10551	1.10581	1.09158	1.10103	173620	0	5
2015.07.08	1.10104	1.10925	1.09734	1.10756	160168	0	6
2015.07.09	1.10754	1.11245	1.09910	1.10353	143058	0	4
2015.07.10	1.10353	1.12153	1.10300	1.11541	157300	0	6
2015.07.13	1.10993	1.11963	1.09948	1.10001	148997	0	5
2015.07.14	1.10001	1.10808	1.09649	1.10082	143590	0	5
2015.07.15	1.10082	1.10349	1.09293	1.09477	142338	0	7
2015.07.16	1.09483	1.09620	1.08549	1.08730	142440	0	5
2015.07.17	1.08731	1.09063	1.08281	1.08299	118379	0	7
2015.07.20	1.08332	1.08695	1.08078	1.08245	115065	0	7
2015.07.21	1.08243	1.09690	1.08109	1.09324	148089	0	5
2015.07.22	1.09341	1.09662	1.08691	1.09278	201564	0	4
2015.07.23	1.09234	1.10180	1.09213	1.09826	167751	186244709000	5
2015.07.24	1.09800	1.09955	1.09251	1.09762	123864	175995652000	7
2015.07.27	1.09759	1.11292	1.09687	1.10866	144811	203628425000	7
2015.07.28	1.10871	1.10995	1.10219	1.10592	130748	189336562000	5
2015.07.29	1.10588	1.10837	1.09667	1.09821	137573	191688935000	7
2015.07.30	1.09809	1.09890	1.08931	1.09313	141300	195616530000	5
2015.07.31	1.09304	1.11139	1.09208	1.09831	153941	194204244000	7
2015.08.03	1.09711	1.09957	1.09410	1.09503	133189	191679044000	5
2015.08.04	1.09493	1.09873	1.08786	1.08809	145962	205382383000	7
2015.08.05	1.08783	1.09370	1.08477	1.09052	146918	213087197000	6
2015.08.06	1.09041	1.09433	1.08733	1.09235	130219	187670096000	5
2015.08.07	1.09216	1.09780	1.08548	1.09640	124434	168302423000	5
2015.08.10	1.09623	1.10411	1.09250	1.10154	100312	140314348000	4
2015.08.11	1.10167	1.10880	1.09602	1.10370	135337	182689070000	7
2015.08.12	1.10390	1.12137	1.10240	1.11553	143564	190941796000	7
2015.08.13	1.11563	1.11885	1.10796	1.11476	111571	152605943000	7
2015.08.14	1.11460	1.11885	1.10976	1.11100	110116	152786016000	4
2015.08.17	1.11140	1.11245	1.10584	1.10728	120954	182187001000	7
2015.08.18	1.10738	1.10935	1.10171	1.10228	118625	180837478000	7
2015.08.19	1.10238	1.11342	1.10174	1.11160	149578	203361542000	7
2015.08.20	1.11154	1.12444	1.11067	1.12375	154304	206698894000	7
2015.08.21	1.12372	1.13884	1.12289	1.13865	186431	244278598000	7
2015.08.24	1.13742	1.17138	1.13679	1.16129	261024	208434553000	7
2015.08.25	1.16168	1.16214	1.13961	1.15127	240331	286284085000	7
2015.08.26	1.15155	1.15612	1.12912	1.13115	231687	293677321000	7
2015.08.27	1.13072	1.13642	1.12028	1.12393	182216	231542552000	7
2015.08.28	1.12428	1.13094	1.11559	1.11803	157044	219971880000	7
2015.08.31	1.11767	1.12620	1.11692	1.12090	123174	184163777000	7
2015.09.01	1.12079	1.13318	1.12077	1.13133	174012	235490083000	7
2015.09.02	1.13127	1.13193	1.12162	1.12258	159394	223252877000	7
2015.09.03	1.12252	1.12430	1.10869	1.11222	143763	205831706000	7
2015.09.04	1.11206	1.11894	1.10897	1.11469	145529	204847038000	7
2015.09.07	1.11571	1.11774	1.11210	1.11684	112259	153195005000	7
2015.09.08	1.11668	1.12292	1.11522	1.12012	144640	208937710000	7
2015.09.09	1.11981	1.12160	1.11313	1.12060	153104	234688486000	7
2015.09.10	1.12020	1.12950	1.11715	1.12776	168140	243099980000	7
2015.09.11	1.12755	1.13493	1.12538	1.13395	146209	202645013000	7
2015.09.14	1.13298	1.13729	1.12832	1.13150	123048	197075491000	7
2015.09.15	1.13145	1.13284	1.12580	1.12687	137018	213710198000	7
2015.09.16	1.12680	1.13204	1.12138	1.12890	132532	199504615000	7
2015.09.17	1.12885	1.14408	1.12842	1.14336	145689	205113452000	7
2015.09.18	1.14333	1.14600	1.12691	1.12985	159089	236593818000	7
2015.09.21	1.12823	1.13298	1.11809	1.11888	139437	216321879000	7
2015.09.22	1.11886	1.12072	1.11130	1.11236	136505	221709409000	7
2015.09.23	1.11229	1.12130	1.11049	1.11844	143671	213755312000	7
2015.09.24	1.11843	1.12956	1.11641	1.12321	159672	233081365000	7
2015.09.25	1.12280	1.12280	1.11159	1.11994	156142	218375155000	7
2015.09.28	1.11910	1.12474	1.11463	1.12436	145183	213683913000	7
2015.09.29	1.12441	1.12810	1.11935	1.12478	156307	235262493000	7
2015.09.30	1.12469	1.12610	1.11569	1.11763	144420	227797803000	4
2015.10.01	1.11748	1.12090	1.11347	1.11939	136303	211697027000	7
2015.10.02	1.11931	1.13181	1.11501	1.12095	152574	215596311000	7
2015.10.05	1.12202	1.12890	1.11731	1.11871	155664	239551558000	7
2015.10.06	1.11854	1.12792	1.11717	1.12704	136981	223034765000	7
2015.10.07	1.12706	1.12840	1.12112	1.12368	145693	243815744000	7
2015.10.08	1.12353	1.13265	1.12341	1.12756	139258	225090409000	7
2015.10.09	1.12748	1.13869	1.12667	1.13569	145604	226459743000	7
2015.10.12	1.13588	1.13966	1.13547	1.13578	94013	146606375000	7
2015.10.13	1.13571	1.14108	1.13438	1.13782	124917	206748865000	7
2015.10.14	1.13773	1.14889	1.13768	1.14730	138506	228096319000	7
2015.10.15	1.14723	1.14949	1.13629	1.13803	144400	235172570000	7
2015.10.16	1.13819	1.13945	1.13339	1.13474	122270	184775914000	7
2015.10.19	1.13546	1.13788	1.13054	1.13269	124837	197187155000	7
2015.10.20	1.13268	1.13868	1.13237	1.13453	110310	184550685000	7
2015.10.21	1.13430	1.13772	1.13342	1.13382	111411	188934438000	7
2015.10.22	1.13372	1.13507	1.10998	1.11087	150246	245739417000	7
2015.10.23	1.11055	1.11394	1.09963	1.10169	153746	239950531000	7
2015.10.26	1.10071	1.10682	1.10035	1.10529	114119	191914735000	7
2015.10.27	1.10524	1.10780	1.10300	1.10462	115382	177658025000	7
2015.10.28	1.10454	1.10955	1.08966	1.09267	128620	208717084000	7
2015.10.29	1.09268	1.09862	1.09026	1.09858	125217	205707051000	7
2015.10.30	1.09858	1.10723	1.09653	1.10050	137706	215424727000	7
2015.11.02	1.10266	1.10527	1.09998	1.10150	109114	180150735000	7
2015.11.03	1.10139	1.10298	1.09357	1.09627	119749	200543770000	7
2015.11.04	1.09626	1.09675	1.08439	1.08653	136540	228434482000	7
2015.11.05	1.08628	1.08972	1.08333	1.08828	133932	216939064000	7
2015.11.06	1.08825	1.08935	1.07070	1.07390	132696	202222443000	7
2015.11.09	1.07283	1.07896	1.07191	1.07499	146695	219242469000	4
2015.11.10	1.07500	1.07637	1.06740	1.07227	141813	224497885000	4
2015.11.11	1.07214	1.07733	1.07054	1.07417	131074	197648428000	7
2015.11.12	1.07432	1.08301	1.06906	1.08120	175868	263659947000	7
2015.11.13	1.08103	1.08167	1.07137	1.07668	158760	246799231000	7
2015.11.16	1.07366	1.07578	1.06744	1.06847	148817	230761945000	7
2015.11.17	1.06770	1.06904	1.06305	1.06430	145784	237581338000	6
2015.11.18	1.06413	1.06922	1.06166	1.06583	135966	218959615000	7
2015.11.19	1.06574	1.07628	1.06549	1.07338	156694	252476817000	7
2015.11.20	1.07322	1.07382	1.06397	1.06451	141561	229651629000	7
2015.11.23	1.06372	1.06565	1.05922	1.06354	150590	249074624000	7
2015.11.24	1.06355	1.06733	1.06193	1.06426	154783	244526722000	7
2015.11.25	1.06428	1.06890	1.05657	1.06238	163860	263077918000	7
2015.11.26	1.06228	1.06270	1.05996	1.06102	100405	156318896000	7
2015.11.27	1.06101	1.06376	1.05682	1.05938	122303	193526246000	7
2015.11.30	1.05887	1.05947	1.05576	1.05643	125836	206755500000	2
2015.12.01	1.05639	1.06369	1.05629	1.06324	142795	240856439000	5
2015.12.02	1.06340	1.06355	1.05505	1.06135	148672	248002153000	7
2015.12.03	1.06121	1.09807	1.05222	1.09385	193877	292711038000	7
2015.12.04	1.09408	1.09559	1.08357	1.08779	197815	289168668000	7
2015.12.07	1.08681	1.08872	1.07958	1.08366	137004	222472652000	7
2015.12.08	1.08348	1.09021	1.08299	1.08920	147793	234642636000	7
2015.12.09	1.08895	1.10427	1.08789	1.10244	173961	260447059000	7
2015.12.10	1.10214	1.10242	1.09247	1.09401	152562	234855869000	7
2015.12.11	1.09395	1.10305	1.09263	1.09894	163728	217507404000	7
2015.12.14	1.09801	1.10483	1.09452	1.09922	173997	248298521000	7
2015.12.15	1.09905	1.10593	1.09044	1.09285	159311	229326984000	7
2015.12.16	1.09289	1.10116	1.08878	1.09104	173023	228037815000	7
2015.12.17	1.09097	1.09138	1.08023	1.08245	150539	201998033000	7
2015.12.18	1.08242	1.08742	1.08047	1.08613	156544	201864071000	7
2015.12.21	1.08511	1.09387	1.08457	1.09139	127939	165604315000	7
2015.12.22	1.09133	1.09839	1.09021	1.09568	120357	159462304000	7
2015.12.23	1.09506	1.09568	1.08696	1.09099	104495	130519778000	7
2015.12.24	1.09087	1.09673	1.09023	1.09542	61302	70143103000	3
2015.12.28	1.09441	1.09922	1.09441	1.09681	79315	90971557000	7
2015.12.29	1.09641	1.09914	1.08988	1.09180	92900	110391898000	7
2015.12.30	1.09214	1.09434	1.09014	1.09312	93938	113234571000	7
2015.12.31	1.09303	1.09368	1.08526	1.08609	66736	78696821000	7
2016.01.04	1.08696	1.09462	1.07808	1.08319	157687	203037774000	7
2016.01.05	1.08274	1.08386	1.07104	1.07463	132203	183164305000	7
2016.01.06	1.07464	1.07992	1.07127	1.07796	149117	199604728000	7
2016.01.07	1.07789	1.09399	1.07707	1.09287	177685	235053822000	7
2016.01.08	1.09243	1.09331	1.08028	1.09245	172703	224941239000	7
2016.01.11	1.09171	1.09697	1.08476	1.08581	153753	208525277000	5
2016.01.12	1.08568	1.08999	1.08193	1.08570	159298	218747711000	7
2016.01.13	1.08579	1.08870	1.08046	1.08757	165246	238781195000	7
2016.01.14	1.08739	1.09429	1.08342	1.08634	181007	261259365000	7
2016.01.15	1.08647	1.09844	1.08543	1.09132	184568	257717789000	7
2016.01.18	1.09206	1.09273	1.08684	1.08941	128564	172660744000	7
2016.01.19	1.08894	1.09389	1.08591	1.09065	163116	235771451000	7
2016.01.20	1.09051	1.09757	1.08769	1.08883	192784	297034930000	7
2016.01.21	1.08876	1.09208	1.07770	1.08726	208559	304320742000	7
2016.01.22	1.08727	1.08763	1.07888	1.07965	166857	257346292000	4
2016.01.25	1.07886	1.08566	1.07886	1.08475	153222	244097483000	7
2016.01.26	1.08474	1.08740	1.08185	1.08683	148897	233799945000	7
2016.01.27	1.08685	1.09163	1.08503	1.08920	176075	254195909000	7
2016.01.28	1.08925	1.09674	1.08694	1.09390	170459	224201936000	7
2016.01.29	1.09384	1.09483	1.08096	1.08300	209310	270680610000	7
2016.02.01	1.08297	1.09125	1.08142	1.08873	149072	178886003000	7
2016.02.02	1.08873	1.09397	1.08819	1.09177	151389	173470199000	7
2016.02.03	1.09158	1.11452	1.09034	1.11017	200352	225776652000	7
2016.02.04	1.11016	1.12387	1.10693	1.12067	225686	292074146000	7
2016.02.05	1.12053	1.12468	1.11084	1.11578	187784	286719575000	7
2016.02.08	1.11415	1.12155	1.10862	1.11912	189737	308947652000	7
2016.02.09	1.11910	1.13378	1.11620	1.12940	231656	335088672000	7
2016.02.10	1.12903	1.13111	1.11602	1.12889	229356	338417156000	7
2016.02.11	1.12899	1.13761	1.12736	1.13218	253405	303158864000	7
2016.02.12	1.13220	1.13337	1.12138	1.12503	208643	285054807000	7
2016.02.15	1.12336	1.12495	1.11276	1.11531	159956	216456387000	7
2016.02.16	1.11530	1.11928	1.11239	1.11423	168249	252286628000	7
2016.02.17	1.11420	1.11788	1.11057	1.11267	171626	231366771000	7
2016.02.18	1.11262	1.11493	1.10707	1.11058	166185	245431630000	7
2016.02.19	1.11063	1.11390	1.10664	1.11279	157798	217188046000	7
2016.02.22	1.11111	1.11244	1.10028	1.10281	148929	237132892000	7
2016.02.23	1.10273	1.10524	1.09898	1.10180	159977	262782117000	7
2016.02.24	1.10173	1.10459	1.09571	1.10116	176041	298745929000	7
2016.02.25	1.10137	1.10496	1.09865	1.10168	161056	274334832000	7
2016.02.26	1.10168	1.10679	1.09114	1.09289	159885	273341678000	7
2016.02.29	1.09130	1.09625	1.08589	1.08718	161758	263491697000	7
2016.03.01	1.08751	1.08932	1.08338	1.08656	162298	258998695000	5
2016.03.02	1.08644	1.08807	1.08251	1.08672	160186	277718952000	7
2016.03.03	1.08676	1.09725	1.08533	1.09556	154816	252260177000	7
2016.03.04	1.09556	1.10430	1.09027	1.10064	166289	242389152000	7
2016.03.07	1.09879	1.10255	1.09397	1.10121	127729	221885497000	7
2016.03.08	1.10127	1.10575	1.09933	1.10096	142910	227473184000	7
2016.03.09	1.10095	1.10345	1.09457	1.09981	134228	227934982000	7
2016.03.10	1.09973	1.12177	1.08219	1.11759	176693	251523367000	7
2016.03.11	1.11759	1.12093	1.10801	1.11462	150540	209617761000	7
2016.03.14	1.11444	1.11759	1.10775	1.11012	127000	208908434000	7
2016.03.15	1.11012	1.11248	1.10715	1.11048	130357	210619657000	7
2016.03.16	1.11049	1.12420	1.10575	1.12120	146973	201770198000	7
2016.03.17	1.12123	1.13422	1.12048	1.13151	161032	202177158000	7
2016.03.18	1.13139	1.13365	1.12558	1.12688	138417	214825698000	7
2016.03.21	1.12682	1.12844	1.12344	1.12386	115649	166191958000	7
2016.03.22	1.12386	1.12596	1.11881	1.12150	118562	149681676000	7
2016.03.23	1.12151	1.12231	1.11628	1.11796	90109	110528292000	7
2016.03.24	1.11802	1.11874	1.11439	1.11786	104732	142564891000	7
2016.03.25	1.11786	1.11789	1.11536	1.11613	45514	50904538000	7
2016.03.28	1.11599	1.12197	1.11527	1.11952	62033	107492825000	7
2016.03.29	1.11930	1.13032	1.11687	1.12893	141292	229344619000	7
2016.03.30	1.12896	1.13652	1.12831	1.13387	152488	250207053000	7
2016.03.31	1.13359	1.14115	1.13098	1.13788	145361	247984493000	7
2016.04.01	1.13777	1.14377	1.13344	1.13897	159690	265091454000	7
2016.04.04	1.13994	1.14123	1.13570	1.13888	129475	201912145000	7
2016.04.05	1.13863	1.14049	1.13356	1.13826	146695	246752444000	7
2016.04.06	1.13826	1.14317	1.13262	1.13979	149211	244160300000	7
2016.04.07	1.13975	1.14538	1.13373	1.13767	165889	257431452000	7
2016.04.08	1.13751	1.14190	1.13488	1.13949	140419	217414690000	7
2016.04.11	1.14138	1.14470	1.13721	1.14097	126835	205171184000	7
2016.04.12	1.14052	1.14645	1.13458	1.13835	144352	238679436000	7
2016.04.13	1.13827	1.13909	1.12680	1.12723	151524	257584925000	7
2016.04.14	1.12728	1.12945	1.12335	1.12663	137771	230033869000	7
2016.04.15	1.12616	1.13167	1.12453	1.12827	119449	186494558000	7
2016.04.18	1.12998	1.13317	1.12734	1.13119	119210	148461651000	7
2016.04.19	1.13091	1.13842	1.13030	1.13575	121795	169921984000	7
2016.04.20	1.13566	1.13876	1.12901	1.12952	129818	201561503000	7
2016.04.21	1.12952	1.13985	1.12696	1.12860	147583	202846835000	7
2016.04.22	1.12859	1.13084	1.12154	1.12154	143320	206099671000	7
2016.04.25	1.12167	1.12779	1.12145	1.12660	122000	172644030000	7
2016.04.26	1.12660	1.13394	1.12559	1.12950	125742	197827389000	7
2016.04.27	1.12948	1.13611	1.12713	1.13191	131122	189349013000	7
2016.04.28	1.13199	1.13676	1.12960	1.13509	155075	214840865000	7
2016.04.29	1.13509	1.14590	1.13470	1.14504	156574	230532280000	4
2016.05.02	1.14582	1.15354	1.14479	1.15331	131824	179662354000	7
2016.05.03	1.15331	1.16159	1.14947	1.14949	159314	229552231000	7
2016.05.04	1.14960	1.15292	1.14659	1.14855	156038	217122544000	7
2016.05.05	1.14829	1.14934	1.13856	1.14048	129054	183670486000	7
2016.05.06	1.14040	1.14796	1.13863	1.14009	138490	196953325000	7
2016.05.09	1.13939	1.14194	1.13750	1.13806	118175	173221091000	7
2016.05.10	1.13814	1.14096	1.13583	1.13717	117173	178481592000	7
2016.05.11	1.13691	1.14462	1.13686	1.14251	110018	171402650000	7
2016.05.12	1.14242	1.14288	1.13702	1.13766	116605	186349913000	7
2016.05.13	1.13736	1.13795	1.12825	1.13088	133533	214303443000	7
2016.05.16	1.13098	1.13420	1.13019	1.13193	103824	159552610000	7
2016.05.17	1.13198	1.13482	1.13013	1.13118	120937	193573641000	7
2016.05.18	1.13111	1.13159	1.12140	1.12158	142939	240962107000	7
2016.05.19	1.12144	1.12297	1.11796	1.12019	137673	222577909000	7
2016.05.20	1.12016	1.12370	1.11960	1.12217	100668	159216170000	7
2016.05.23	1.12033	1.12426	1.11873	1.12190	105512	162707941000	7
2016.05.24	1.12187	1.12267	1.11321	1.11393	122763	215466619000	7
2016.05.25	1.11398	1.11666	1.11285	1.11539	117544	200803395000	7
2016.05.26	1.11536	1.12164	1.11492	1.11927	117558	194347744000	7
2016.05.27	1.11918	1.12004	1.11107	1.11130	110864	172103454000	7
2016.05.30	1.11125	1.11443	1.10977	1.11380	74596	101095229000	7
2016.05.31	1.11362	1.11731	1.11219	1.11303	134654	260318595000	7
2016.06.01	1.11301	1.11937	1.11138	1.11869	142623	239981471000	7
2016.06.02	1.11865	1.12198	1.11449	1.11510	134491	230252800000	7
2016.06.03	1.11499	1.13732	1.10707	1.13662	151235	260841265000	7
2016.06.06	1.13542	1.13923	1.13262	1.13528	142741	238558863000	7
2016.06.07	1.13528	1.13801	1.13383	1.13555	121862	232684807000	7
2016.06.08	1.13563	1.14103	1.13541	1.13938	118280	212773199000	7
2016.06.09	1.13936	1.14151	1.13052	1.13129	129055	234791241000	7
2016.06.10	1.13130	1.13210	1.12450	1.12533	133550	190393311000	7
2016.06.13	1.12478	1.13027	1.12316	1.12893	149811	265786291000	7
2016.06.14	1.12890	1.12980	1.11886	1.12056	139493	244088637000	7
2016.06.15	1.12068	1.12982	1.11894	1.12602	140534	235963293000	7
2016.06.16	1.12580	1.12946	1.11307	1.12230	179607	300730192000	7
2016.06.17	1.12231	1.12961	1.12225	1.12752	136556	211145043000	7
2016.06.20	1.13308	1.13821	1.13018	1.13121	141590	233207905000	7
2016.06.21	1.13093	1.13492	1.12428	1.12439	126239	193884624000	7
2016.06.22	1.12421	1.13372	1.12362	1.12947	122068	195905220000	7
2016.06.23	1.12937	1.14208	1.12930	1.13791	141171	202045596000	7
2016.06.24	1.13840	1.14278	1.09113	1.10912	298052	429939034000	7
2016.06.27	1.10024	1.10833	1.09705	1.10237	211882	220133990000	7
2016.06.28	1.10235	1.11112	1.10098	1.10647	154073	245216723000	7
2016.06.29	1.10641	1.11300	1.10489	1.11235	152566	224389449000	7
2016.06.30	1.11170	1.11541	1.10238	1.11048	172106	269098391000	7
2016.07.01	1.11014	1.11689	1.10716	1.11361	133497	192669653000	7
2016.07.04	1.11245	1.11591	1.10975	1.11532	94539	127629900000	7
2016.07.05	1.11528	1.11862	1.10619	1.10750	128447	202579142000	7
2016.07.06	1.10709	1.11112	1.10288	1.10989	159080	236141099000	7
2016.07.07	1.10969	1.11069	1.10522	1.10601	128413	186064340000	7
2016.07.08	1.10601	1.11198	1.10016	1.10497	124816	196034624000	7
2016.07.11	1.10448	1.10743	1.10153	1.10568	115627	177721959000	7
2016.07.12	1.10556	1.11260	1.10517	1.10604	142857	228770318000	7
2016.07.13	1.10595	1.11195	1.10418	1.10883	133693	217916982000	7
2016.07.14	1.10877	1.11644	1.10850	1.11191	150937	244531316000	7
2016.07.15	1.11173	1.11486	1.10240	1.10244	140172	290529903000	7
2016.07.18	1.10497	1.10839	1.10372	1.10748	108109	200246449000	7
2016.07.19	1.10735	1.10801	1.09996	1.10189	109057	197807737000	7
2016.07.20	1.10187	1.10298	1.09810	1.10129	105232	211557165000	7
2016.07.21	1.10122	1.10600	1.09793	1.10237	134508	218944428000	7
2016.07.22	1.10229	1.10406	1.09551	1.09747	118458	172925190000	7
2016.07.25	1.09725	1.09986	1.09516	1.09942	100144	158289821000	7
2016.07.26	1.09927	1.10294	1.09778	1.09855	103516	159726966000	7
2016.07.27	1.09821	1.10647	1.09314	1.10583	119260	178606045000	7
2016.07.28	1.10570	1.11191	1.10519	1.10757	117064	166491563000	7
2016.07.29	1.10763	1.11972	1.10720	1.11743	140309	180590161000	7
2016.08.01	1.11715	1.11831	1.11548	1.11614	101194	116101428000	7
2016.08.02	1.11602	1.12334	1.11573	1.12209	116373	132347202000	7
2016.08.03	1.12202	1.12265	1.11403	1.11474	99248	124760270000	7
2016.08.04	1.11478	1.11561	1.11135	1.11282	110679	136334548000	7
2016.08.05	1.11252	1.11608	1.10453	1.10867	103834	123608737000	7
2016.08.08	1.10795	1.11046	1.10716	1.10878	88072	110596909000	7
2016.08.09	1.10855	1.11221	1.10700	1.11169	93176	125489494000	7
2016.08.10	1.11151	1.11898	1.11114	1.11744	106029	148655311000	7
2016.08.11	1.11744	1.11909	1.11349	1.11354	107170	166227314000	7
2016.08.12	1.11356	1.12209	1.11309	1.11634	109188	166632641000	7
2016.08.15	1.11659	1.12032	1.11530	1.11825	83715	114617140000	7
2016.08.16	1.11820	1.13221	1.11770	1.12772	123356	156360444000	7
2016.08.17	1.12773	1.13155	1.12403	1.12874	114477	142330543000	7
2016.08.18	1.12837	1.13661	1.12837	1.13536	121750	152999492000	7
2016.08.19	1.13521	1.13591	1.13037	1.13237	110099	135203091000	7
2016.08.22	1.13087	1.13302	1.12707	1.13190	105292	135779511000	7
2016.08.23	1.13180	1.13548	1.13028	1.13041	100937	130072512000	7
2016.08.24	1.13039	1.13111	1.12448	1.12628	109242	135104472000	7
2016.08.25	1.12625	1.12970	1.12588	1.12833	82751	90615060000	7
2016.08.26	1.12783	1.13406	1.11806	1.11856	122981	144472650000	7
2016.08.29	1.11823	1.12074	1.11575	1.11889	94988	100022902000	7
2016.08.30	1.11873	1.11920	1.11317	1.11418	96173	107449318000	7
2016.08.31	1.11400	1.11650	1.11227	1.11571	103050	116624197000	7
2016.09.01	1.11562	1.12048	1.11272	1.11957	105894	115765550000	7
2016.09.02	1.11927	1.12518	1.11449	1.11449	119722	128319760000	7
2016.09.05	1.11564	1.11819	1.11393	1.11458	81686	85491202000	7
2016.09.06	1.11456	1.12627	1.11404	1.12555	110662	111752409000	7
2016.09.07	1.12516	1.12706	1.12283	1.12385	109600	113161874000	7
2016.09.08	1.12384	1.13266	1.12340	1.12607	127443	130598616000	7
2016.09.09	1.12596	1.12849	1.11981	1.12235	121473	129108171000	7
2016.09.12	1.12304	1.12680	1.12100	1.12349	126786	135125284000	7
2016.09.13	1.12331	1.12601	1.12036	1.12182	124533	151370242000	7
2016.09.14	1.12180	1.12737	1.12097	1.12495	116530	145098461000	7
2016.09.15	1.12488	1.12833	1.12187	1.12435	123670	140884762000	7
2016.09.16	1.12422	1.12497	1.11492	1.11535	119434	138333230000	7
2016.09.19	1.11531	1.11975	1.11505	1.11731	99139	108852103000	7
2016.09.20	1.11729	1.12131	1.11495	1.11501	113779	141376137000	7
2016.09.21	1.11486	1.11962	1.11228	1.11878	134851	142583455000	7
2016.09.22	1.11865	1.12569	1.11844	1.12068	110922	113265798000	7
2016.09.23	1.12068	1.12403	1.11935	1.12149	105350	107434035000	7
2016.09.26	1.12290	1.12788	1.12204	1.12524	100826	130637233000	7
2016.09.27	1.12533	1.12586	1.11906	1.12137	119008	128073938000	7
2016.09.28	1.12152	1.12365	1.11814	1.12163	121252	120679241000	7
2016.09.29	1.12160	1.12496	1.11965	1.12210	127561	141757934000	7
2016.09.30	1.12212	1.12503	1.11531	1.12399	159432	177491298000	7
2016.10.03	1.12262	1.12439	1.12049	1.12096	103336	123027778000	7
2016.10.04	1.12101	1.12384	1.11376	1.12042	146345	178500846000	7
2016.10.05	1.12015	1.12330	1.11894	1.12031	127464	149862744000	7
2016.10.06	1.12030	1.12121	1.11395	1.11493	127469	158984828000	7
2016.10.07	1.11481	1.12048	1.11040	1.11931	187746	208004910000	7
2016.10.10	1.11810	1.12028	1.11309	1.11390	109958	137254865000	7
2016.10.11	1.11346	1.11419	1.10486	1.10530	147615	175804876000	7
2016.10.12	1.10530	1.10673	1.10041	1.10046	152051	162336030000	7
2016.10.13	1.10063	1.10573	1.09851	1.10547	121174	119271680000	7
2016.10.14	1.10543	1.10582	1.09699	1.09711	133087	135381567000	7
2016.10.17	1.09689	1.10076	1.09635	1.09985	109813	107652751000	7
2016.10.18	1.09994	1.10262	1.09697	1.09794	108880	105709438000	7
2016.10.19	1.09783	1.10044	1.09547	1.09735	111049	108488167000	7
2016.10.20	1.09720	1.10388	1.09154	1.09285	119987	109650577000	7
2016.10.21	1.09281	1.09293	1.08590	1.08736	107479	96972547000	7
2016.10.24	1.08801	1.08993	1.08592	1.08812	95964	89487546000	7
2016.10.25	1.08800	1.09045	1.08507	1.08880	117030	103118316000	7
2016.10.26	1.08863	1.09462	1.08740	1.09069	100906	67804537000	7
2016.10.27	1.09068	1.09418	1.08821	1.08945	113193	98784317000	7
2016.10.28	1.08960	1.09915	1.08926	1.09745	125686	101993231000	7
2016.10.31	1.09841	1.09907	1.09355	1.09762	99166	88512027000	7
